Start time,End time,Access_Token_DEV,Login_Icon_DEV,Satiro_Login,Satiro_Login_LH,Satiro Server,Satiro_Serve_LH,Access_Token_UAT,Login_Icon_UAT,Medusa_Login,Medusa_Login_LH,Medusa_Server,Medusa_Server_LH
2025-04-16 06:52:11,2025-04-16 07:06:11,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 07:08:14,2025-04-16 07:22:14,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 07:24:11,2025-04-16 07:38:11,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 07:40:03,2025-04-16 07:54:03,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 07:55:56,2025-04-16 08:09:56,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 08:11:49,2025-04-16 08:25:49,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 08:27:43,2025-04-16 08:41:43,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 08:43:48,2025-04-16 08:57:48,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 08:59:39,2025-04-16 09:13:39,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 09:15:29,2025-04-16 09:29:29,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 09:31:25,2025-04-16 09:45:25,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 09:47:26,2025-04-16 10:01:26,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 10:03:24,2025-04-16 10:17:24,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 10:19:27,2025-04-16 10:33:27,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 10:35:22,2025-04-16 10:49:22,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 10:51:13,2025-04-16 11:05:13,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 11:07:06,2025-04-16 11:21:06,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 11:22:45,2025-04-16 11:36:45,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
2025-04-16 11:38:27,2025-04-16 11:52:27,OK,OK,OK,OK,BAD,BAD,OK,OK,OK,OK,OK,OK
